Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,40178.92969,40348.60938,40026.98828,40286.48047,40286.48047,27800
2019-11-15,40408.19922,40650.05859,40308.08984,40356.69141,40356.69141,25800
2019-11-18,40431.07813,40542.39844,40221.96875,40284.19141,40284.19141,28700
2019-11-19,40455.35938,40544.12891,40290.21094,40469.69922,40469.69922,39100
2019-11-20,40729.80078,40816.37891,40575.96094,40651.64063,40651.64063,32300
2019-11-21,40737.30859,40744.85156,40534.12109,40575.17188,40575.17188,21800
2019-11-22,40653.17188,40653.17188,40276.82813,40359.41016,40359.41016,21700
2019-11-25,40439.66016,40931.71094,40393.89844,40889.23047,40889.23047,28600
2019-11-26,41022.85156,41120.28125,40710.19922,40821.30078,40821.30078,32800
2019-11-27,40979.39063,41075.76172,40848.69922,41020.60938,41020.60938,32400
2019-11-28,41161.53906,41163.78906,40996.07813,41130.17188,41130.17188,30900
2019-11-29,41138.26172,41143.21875,40664.17969,40793.80859,40793.80859,46700
2019-12-02,41072.94141,41093.98828,40707.62891,40802.17188,40802.17188,39800
2019-12-03,40852.60938,40885.03125,40554.03906,40675.44922,40675.44922,33700
2019-12-04,40606.01172,40886.87109,40475.82813,40850.28906,40850.28906,44500
2019-12-05,40988.14063,41002.41016,40720.17188,40779.58984,40779.58984,33000
2019-12-06,40952.12891,40952.12891,40337.53125,40445.14844,40445.14844,33100
2019-12-09,40527.23828,40645.62891,40336.55859,40487.42969,40487.42969,32600
2019-12-10,40588.80859,40588.80859,40208.69922,40239.87891,40239.87891,31400
2019-12-11,40285.19922,40466.12891,40135.37109,40412.57031,40412.57031,55500
2019-12-12,40561.33984,40712.64844,40490.69141,40581.71094,40581.71094,41300
2019-12-13,40754.82031,41055.80078,40736.69922,41009.71094,41009.71094,27900
2019-12-16,41168.85156,41185.03125,40917.92969,40938.71875,40938.71875,21600
2019-12-17,41052.35938,41401.64844,41005.17969,41352.17188,41352.17188,19000
2019-12-18,41442.75,41614.76953,41358.46875,41558.57031,41558.57031,24300
2019-12-19,41571.82031,41719.28906,41456.39844,41673.92188,41673.92188,33300
2019-12-20,41746.19922,41809.96094,41636.10938,41681.53906,41681.53906,33600
2019-12-23,41548.26172,41701.62109,41474.60938,41642.66016,41642.66016,6200
2019-12-24,41684.51172,41702.98047,41423.07031,41461.26172,41461.26172,4400
2019-12-26,41543.80078,41543.80078,41132.89063,41163.76172,41163.76172,5600
2019-12-27,41297.07813,41611.26953,41264.92188,41575.14063,41575.14063,6100
2019-12-30,41686.26953,41714.73047,41453.37891,41558,41558,5700
2019-12-31,41607.48828,41607.48828,41184.73047,41253.73828,41253.73828,5600
2020-01-01,null,null,null,null,null,null
2020-01-02,41340.26953,41649.28906,41328.44922,41626.64063,41626.64063,5300
2020-01-03,41634.51172,41636.17969,41348.67969,41464.60938,41464.60938,8900
2020-01-06,41378.33984,41378.33984,40613.96094,40676.62891,40676.62891,8700
2020-01-07,40983.03906,41230.14063,40727.37109,40869.46875,40869.46875,11900
2020-01-08,40574.82813,40866.35938,40476.55078,40817.73828,40817.73828,18200
2020-01-09,41216.67188,41482.12109,41175.71875,41452.35156,41452.35156,7800
2020-01-10,41568.19922,41775.10938,41447.80078,41599.71875,41599.71875,13200
2020-01-13,41788.21094,41899.62891,41720.76172,41859.69141,41859.69141,10600
2020-01-14,41883.08984,41994.26172,41770.89844,41952.62891,41952.62891,14100
2020-01-15,41969.85938,41969.85938,41648.10938,41872.73047,41872.73047,6100
2020-01-16,41924.73828,42059.44922,41812.28125,41932.55859,41932.55859,6600
2020-01-17,41929.01953,42063.92969,41850.28906,41945.37109,41945.37109,9500
2020-01-20,42263,42273.87109,41503.37109,41528.91016,41528.91016,7500
2020-01-21,41487.57031,41532.58984,41294.30078,41323.80859,41323.80859,8900
2020-01-22,41467.12891,41532.28906,41059.03906,41115.37891,41115.37891,7700
2020-01-23,41191.5,41413.96094,41098.91016,41386.39844,41386.39844,9900
2020-01-24,41377.03906,41697.03125,41275.60156,41613.19141,41613.19141,6600
2020-01-27,41510.67969,41516.26953,41122.48047,41155.12109,41155.12109,7000
2020-01-28,41299.67969,41333.25,40869.75,40966.85938,40966.85938,9800
2020-01-29,41131.57031,41334.85938,41108.19141,41198.66016,41198.66016,7800
2020-01-30,41380.14063,41380.14063,40829.91016,40913.82031,40913.82031,6700
2020-01-31,41146.55859,41154.48828,40671.01172,40723.48828,40723.48828,11500
2020-02-03,39701.01953,40014.89844,39563.07031,39872.30859,39872.30859,10600
2020-02-04,40178.73828,40818.94141,40117.46094,40789.37891,40789.37891,15300
2020-02-05,40921.71094,41177,40703.32031,41142.66016,41142.66016,13900
2020-02-06,41209.12891,41405.42969,41113.10938,41306.03125,41306.03125,15000
2020-02-07,41394.41016,41394.41016,41073.35938,41141.85156,41141.85156,15300
